"business_id","name","address","city","state","zipcode","total_checkin","num_review","business_rating"
"LcKOF9flsTObgorY0sIV7Q","Brett Hawkins, DDS","1628 E Southern Ave, Ste 5","Tempe","AZ","85282",12,2,"5"
"OFcx6LpxK6c6h8c6FPPXKA","Penn Station East Coast Subs","11532 Providence Rd, Ste R","Charlotte","NC","28277",144,39,"4.128205128205129"
"t7q-zrFyC_uLWcfzJAp5JA","Paradise Falls Apartment Homes","15434 N 32nd St","Phoenix","AZ","85032",1,5,"2.6"
"QC8cV2iUE7dtXW-CayBgUg","Gaudin Porsche of Las Vegas","6800 Redwood St","Las Vegas","NV","89118",28,25,"4.32"
"KfY3avdRgbKFdRSC1kGBsA","Ramiro''s Mexican Foods","378 N Litchfield Rd","Goodyear","AZ","85338",56,23,"4.3478260869565215"
"vCcnawY4Q41A1rlnxKBzkA","Taqueria Mi Casita","2050 N Alma School Rd","Chandler","AZ","85224",561,160,"4.3125"
"BrWiiqcCi_Y1a7GmxMLwYw","Fantasy Nails","916 N Alma School Rd","Chandler","AZ","85224",48,9,"4"
"BIp_BFiIYXo_F524V6ilPQ","Opal Amazing Looks","14807 N 73rd Street, Ste 103","Scottsdale","AZ","85260",1,4,"1"
"W9glbQR48b8K2F0S3K-G5A","Berry Berry Beauty Skincare","4821 N Scottsdale Rd","Scottsdale","AZ","85251",23,17,"4.9411764705882355"
"tVr8OKk9B3ox89bTIO4GPQ","Asian Seafood Market","8826 S Eastern Ave","Las Vegas","NV","89123",324,28,"3.107142857142857"
"y4FrlP_Uf5AIGW9NAYWKeA","Haute Nails and Spa","6640 N Durango Dr, Ste 130","Las Vegas","NV","89149",87,31,"3.806451612903226"
"7wQXbUU2Mwvivg9wmBlrkg","Brown Bag Delis","1001 Liberty Ave","Pittsburgh","PA","15222",14,6,"3"
"nkDSE-yhvLX4ij5fSzvb5Q","Tonic Bar & Grill","971 Liberty Ave","Pittsburgh","PA","15222",353,75,"3.4266666666666667"
